Week,Date,Topic,Prepare,Resources,HW,Project,Job,Hack-a-thon
1,Jan 28,Introduction,,,,,,
1,Jan 30,,,,,,,
1,Feb 1,,,,,,,
2,Feb 3,,,,,,,
2,Feb 5,,,,,,,
2,Feb 7,,,,,,,
